Title,Organism,Type,Platform,Samples,Accession,FTP,Processing,Samples
Identifying microRNA-mRNA regulatory networks in colorectal cancer by a combination of expression profile and bioinformatics analysis,Homo sapiens,Expression profiling by array; Non-coding RNA profiling by array,GPL14767 GPL4133 32 Samples,32,"GSE35982	ID: 200035982",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE35nnn/GSE35982/,,
Peroxireduxin-4 is over-expressed in colon cancer and its down-regulation leads to apoptosis,Homo sapiens,Expression profiling by array,GPL80 32 Samples,32,"GSE26571	ID: 200026571",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE26nnn/GSE26571/,,
"Hypermethylation and downregulation of UTP6 are associated with stemness properties, chemoradiotherapy resistance and prognosis in rectal cancer: A co-expression network analysis",Homo sapiens,Expression profiling by array,GPL28140 31 Samples,31,"GSE145037	ID: 200145037",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE145nnn/GSE145037/,,
Dynamic Transcriptome Analysis Reveal New Prognosis Biomarker in Colorectal Cancer (gene expression),Homo sapiens,Expression profiling by array,GPL6254 31 Samples,31,"GSE41011	ID: 200041011",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE41nnn/GSE41011/,,
Identification of HOXB8 and K LK11 expression levels as potential biomarkers to predict the effects of FOLFOX4 chemotherapy,Homo sapiens,Expression profiling by array,GPL570 30 Samples,30,"GSE69657	ID: 200069657",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE69nnn/GSE69657/,,Treatment - FOLFOX4 chemotherapy
Formalin Fixation at Low Temperature Better Preserves Nucleic Acid Integrity,Homo sapiens,Expression profiling by array,GPL6947 30 Samples,30,"GSE27175	ID: 200027175",GEO ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE27nnn/GSE27175/,,
UMCU colon cancer - Biopsies Of Surgical Specimens (BOSS),Homo sapiens,Expression profiling by array,GPL570 29 Samples,29,"GSE85043	ID: 200085043",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE85nnn/GSE85043/,,BOSS -CMS colon cancer stages I to 4
Combined MEK and PARP inhibition enhances radiation response in rectal cancer,Homo sapiens,Expression profiling by array,GPL570 28 Samples,28,"GSE294953	ID: 200294953",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE294nnn/GSE294953/,,Treatment - radiation response by KO
A cancer stem cell hierarchy based on differential ribosomal RNA and protein synthesis capacities [EPHB2],Homo sapiens,Expression profiling by array,GPL15207 28 Samples,28,"GSE125229	ID: 200125229",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE125nnn/GSE125229/,,
Small molecule inhibition of MEK activates Wnt signalling and leads to reprogramming of colon cancer stem cells,Homo sapiens,Expression profiling by array,GPL10558 GPL570 28 Samples,28,"GSE114061	ID: 200114061",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE114nnn/GSE114061/,,colon cancer stem cells
Gene expression profile of human colorectal carcinoma,Homo sapiens,Expression profiling by array,GPL15207 28 Samples,28,"GSE113513	ID: 200113513",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE113nnn/GSE113513/,,
Vitamin D receptor expression and associated gene signature in tumor stromal fibroblasts predict clinical outcome in colorectal cancer,Homo sapiens,Expression profiling by array,GPL17077 28 Samples,28,"GSE70468	ID: 200070468",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE70nnn/GSE70468/,,
Time dependent changes of gene expression in surgical specimen of colorectal cancer,Homo sapiens,Expression profiling by array,GPL13497 28 Samples,28,"GSE50746	ID: 200050746",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE50nnn/GSE50746/,,
Liver X Receptors play an antitumoral role in the intestine,Homo sapiens; Mus musculus,Expression profiling by array,GPL10558 GPL6885 28 Samples,28,"GSE44073	ID: 200044073",GEO ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE44nnn/GSE44073/,,
Luciferase Expressing Preclinical Model Systems Representing the Different Molecular Subtypes of Colorectal Cancer,Homo sapiens,Expression profiling by array,GPL23126 27 Samples,27,"GSE241569	ID: 200241569",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE241nnn/GSE241569/,,
Gene expression profiles of parental and chemotherapy-resistant colon cancer cell lines.,Homo sapiens,Expression profiling by array,GPL16297 27 Samples,27,"GSE42387	ID: 200042387",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE42nnn/GSE42387/,,
Transcriptional profile of NOMO1 knockout cell lines,Homo sapiens,Expression profiling by array; Expression profiling by high throughput sequencing,GPL32050 GPL24676 26 Samples,26,"GSE198383	ID: 200198383","GEO (CEL, TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE198nnn/GSE198383/",,
Expression data from 13 patients with colorectal cancer,Homo sapiens,Expression profiling by array,GPL96 26 Samples,26,"GSE110223	ID: 200110223",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE110nnn/GSE110223/,,
"Gene expression profiling of colorectal cancer tissues, matched normal tissues, colorectal cancer cell lines, and primary cultures (2D organoids)",Homo sapiens,Expression profiling by array,GPL21185 25 Samples,25,"GSE305538	ID: 200305538",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE305nnn/GSE305538/,,
Expression data from colorectal cancer and the adjacent normal tissues infected without F. nucleatum,Homo sapiens,Expression profiling by array,GPL17586 25 Samples,25,"GSE122183	ID: 200122183",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE122nnn/GSE122183/,,
5-hydroxymethylcytosine marks promoters in colon that resist hypermethylation in cancer [ExpressionArray],Homo sapiens,Expression profiling by array,GPL6102 25 Samples,25,"GSE47063	ID: 200047063",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE47nnn/GSE47063/,,
DPPA3-HIF1a axis controls colorectal cancer chemoresistance  by imposing a slow cell-cycle phenotype,Homo sapiens,Expression profiling by array,GPL6244 24 Samples,24,"GSE207862	ID: 200207862",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE207nnn/GSE207862/,,
Consensus molecular subtype transition during progression of colorectal cancer [Tumor Signaling 360™ Panel],Homo sapiens,Expression profiling by array,GPL33582 24 Samples,24,"GSE237248	ID: 200237248",GEO (RCC) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE237nnn/GSE237248/,,
Nuclear pCHK1 as a potential biomarker of increased sensitivity to ATR inhibition,Homo sapiens,Expression profiling by array,GPL32845 24 Samples,24,"GSE217579	ID: 200217579",GEO (RCC) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE217nnn/GSE217579/,,
Purinergic antiplatelet-treated colon cancer cells induce SERPINE1 and MAPK-MMP1 signaling pathways associated with metastasis.,Homo sapiens,Expression profiling by array,GPL10558 24 Samples,24,"GSE153127	ID: 200153127",GEO ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE153nnn/GSE153127/,,
Small molecule inhibition of MEK activates Wnt signalling and leads to reprogramming of colon cancer stem cells [Illumina],Homo sapiens,Expression profiling by array,GPL10558 24 Samples,24,"GSE114059	ID: 200114059",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE114nnn/GSE114059/,,
The probiotic Propionibacterium freudenreichii as a new adjuvant for TRAIL-based therapy in colorectal cancer,Homo sapiens,Expression profiling by array,GPL16699 24 Samples,24,"GSE67033	ID: 200067033",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE67nnn/GSE67033/,,
"Development of gene expression profiles for tumour derived endothelium vs. matched healthy tissues (in renal cell carcinoma, colorectal cancer and colorectal metastasis to the liver)",Homo sapiens,Expression profiling by array,GPL14550 24 Samples,24,"GSE77199	ID: 200077199",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE77nnn/GSE77199/,,
Gene expression profiling of human colon cancer cell lines stimulated with dsDNA90,Homo sapiens,Expression profiling by array,GPL10558 24 Samples,24,"GSE75205	ID: 200075205",GEO (RDATA) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE75nnn/GSE75205/,,
"The disparate twins: A comparative study of CXCR4 and CXCR7 in SDF-1α-induced gene expression, invasion and chemosensitivity of colon cancer",Homo sapiens,Expression profiling by array,GPL6883 24 Samples,24,"GSE40017	ID: 200040017",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE40nnn/GSE40017/,,
Weight loss in obesity reduces colorectal inflammation,Homo sapiens,Expression profiling by array,GPL6947 24 Samples,24,"GSE20931	ID: 200020931",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE20nnn/GSE20931/,,
"mRNA expression data from adenoma, gene modified, and colorectal cancer organoid.",Homo sapiens,Expression profiling by array,GPL15207 23 Samples,23,"GSE57965	ID: 200057965",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE57nnn/GSE57965/,,
PINT lincRNA connects the p53 pathway with epigenetic silencing by the Polycomb Repressive Complex 2 (tissue),Homo sapiens,Expression profiling by array,GPL14550 23 Samples,23,"GSE46271	ID: 200046271",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE46nnn/GSE46271/,,
Profiling of lncRNAs and protein-coding RNAs in colorectal cancer and of MYC-regulated lncRNAs and protein-coding RNAs,Homo sapiens,Expression profiling by array; Non-coding RNA profiling by array,GPL15314 22 Samples,22,"GSE39846	ID: 200039846",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE39nnn/GSE39846/,,
Genome-wide profiling characterizes CRCs with genetic instability and specific routes to HLA class I loss and immunoescape,Homo sapiens,Expression profiling by array,GPL13158 22 Samples,22,"GSE27544	ID: 200027544",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE27nnn/GSE27544/,,
Expression profiling in early onset colorectal cancer,Homo sapiens,Expression profiling by array,GPL570 22 Samples,22,"GSE4107	ID: 200004107",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE4nnn/GSE4107/,,patient�s mucosa and HC  colonic mucosa of healthy controls(10samples) and patients(12samples)
"Gene expression signature in advanced colorectal cancer patients select drugs and response for the use of leucovorin, fluorouracil, and irinotecan",Homo sapiens,Expression profiling by array,GPL570 21 Samples,21,"GSE62080	ID: 200062080",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE62nnn/GSE62080/,,"Treatment - leucovorin, fluorouracil, and irinotecan"
Transcriptome of sessile serrated adenoma/polyps shows a relation with MSI-high colorectal cancer and decrease of CDX2,Homo sapiens,Expression profiling by array,GPL21185 20 Samples,20,"GSE198692	ID: 200198692",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE198nnn/GSE198692/,,
Expression profiling of Normal colonic epilthelial RNA and colorectal cancer cell lines RNA,Homo sapiens,Expression profiling by array,GPL1708 20 Samples,20,"GSE131275	ID: 200131275","GEO (GPR, TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE131nnn/GSE131275/",,
Long Noncoding RNA and mRNA Expression Profile in colorectal cancer,Homo sapiens,Non-coding RNA profiling by array; Expression profiling by array,GPL21047 20 Samples,20,"GSE147602	ID: 200147602",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE147nnn/GSE147602/,,
Defining UHRF1 Domains That Support Maintenance of Human Colon Cancer DNA Methylation and Oncogenic Properties [expression],Homo sapiens,Expression profiling by array,GPL10332 20 Samples,20,"GSE118971	ID: 200118971",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE118nnn/GSE118971/,,
Hsa_circ_101555 functions as a competing endogenous RNA of miR-597-5p to promote colorectal cancer progression [lncRNA/mRNAs],Homo sapiens,Expression profiling by array,GPL21047 20 Samples,20,"GSE126092	ID: 200126092",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE126nnn/GSE126092/,,
Comparison of rectal patient data separated by their event of developing distant metastasis,Homo sapiens,Expression profiling by array; Expression profiling by high throughput sequencing,GPL23593 GPL11154 20 Samples,20,"GSE100110	ID: 200100110",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE100nnn/GSE100110/,,
TGFβ signaling directs serrated adenomas to the mesenchymal colorectal cancer subtype [organoids],Homo sapiens,Expression profiling by array,GPL13158 20 Samples,20,"GSE79461	ID: 200079461",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE79nnn/GSE79461/,,
Colorectal adenocarcinomas and matched normal colonic tissues,Homo sapiens,Expression profiling by array,GPL570 20 Samples,20,"GSE41328	ID: 200041328",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE41nnn/GSE41328/, justPlier() function,Colorectal adenocarcinomas and matched normal colonic RNA sample 
Gene Expression Changes in Non-Dysplastic Mucosa from Patients with Ulcerative Colitis Harboring Remote Neoplastic Lesions,Homo sapiens,Expression profiling by array,GPL13158 20 Samples,20,"GSE37283	ID: 200037283",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE37nnn/GSE37283/,,
NOD2 and human ileal gene expression,Homo sapiens,Expression profiling by array,GPL6848 GPL4133 20 Samples,20,"GSE17594	ID: 200017594",GEO (GPR) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE17nnn/GSE17594/,,
The “effect” of T staging on resectable metastatic liver colorectal cancer/Early T stage is associated with poor prognosis in patients with metastatic liver colorectal cancer,Homo sapiens,Expression profiling by array,GPL16699 19 Samples,19,"GSE146480	ID: 200146480",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE146nnn/GSE146480/,,
"Genetic ablation of either G6P-isomerase or dual LDHA/B in colon cancer cells LS174T , +/- MPP+ (1-methyl-4-phenylpyridinium)",Homo sapiens,Expression profiling by array,GPL17692 19 Samples,19,"GSE149289	ID: 200149289","GEO (CEL, CHP) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE149nnn/GSE149289/",,
Optimizing microarray gene expression profiling workflow for formalin-fixed paraffin-embedded  tissues,Homo sapiens,Expression profiling by array,GPL570 GPL1352 19 Samples,19,"GSE73883	ID: 200073883","GEO (CEL, CHP) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE73nnn/GSE73883/",,HGU133 Plus 2.0+Nugen Ovation FFPE WTA System Kit
Exon-level expression profiling of normal colonic mucosa samples.,Homo sapiens,Expression profiling by array,GPL5175 19 Samples,19,"GSE42690	ID: 200042690","GEO (CEL, CHP) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE42nnn/GSE42690/",,
Alterations in gene expression due to aberrant DNA methylation are associated with the effects of anti-EGFR antibodies.,Homo sapiens,Expression profiling by array,GPL23126 18 Samples,18,"GSE185770	ID: 200185770",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE185nnn/GSE185770/,,
Human colorectal tumor tissue: Tumor vs. histologically normal tissue,Homo sapiens,Expression profiling by array; Non-coding RNA profiling by array,GPL20115 18 Samples,18,"GSE184093	ID: 200184093",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE184nnn/GSE184093/,,
Consensus Molecular Subtypes of colorectal cancer are recapitulated in in vitro and in vivo models [primary cell lines Hubrecht Institute],Homo sapiens,Expression profiling by array,GPL13158 18 Samples,18,"GSE100479	ID: 200100479",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE100nnn/GSE100479/,,
B-Raf inhibitors induce epithelial differentiation in BRAF mutant colorectal cancer cells,Homo sapiens,Expression profiling by array,GPL10558 18 Samples,18,"GSE50791	ID: 200050791",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE50nnn/GSE50791/,,
Expression data for HT29 cells treated with 5-aza-deoxy-cytidine,Homo sapiens,Expression profiling by array; Expression profiling by high throughput sequencing,GPL570 GPL11154 18 Samples,18,"GSE41588	ID: 200041588","GEO (CEL, TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE41nnn/GSE41588/",,Treatment - 5-aza-deoxy-cytidine
Gene expression analysis of microvesicular hyperplastic polyps and sessile serrated polyps/adenomas,Homo sapiens,Expression profiling by array,GPL14951 18 Samples,18,"GSE43841	ID: 200043841",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE43nnn/GSE43841/,,
RAS signaling in colon carcinoma: Target gene deregulation and growth control through Y-box-binding protein 1,Homo sapiens,Expression profiling by array,GPL96 18 Samples,18,"GSE18232	ID: 200018232",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE18nnn/GSE18232/,,
"Expression data from human normal pre-frontal cortex, liver, and colon tissues and colon tumors",Homo sapiens,Expression profiling by array,GPL96 GPL570 18 Samples,18,"GSE13471	ID: 200013471",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE13nnn/GSE13471/,,"normal pre-frontal cortex, liver, and colon tissues and colon tumors"
Gene expression profiling of liver metastases from colorectal cancer,Homo sapiens,Expression profiling by array,GPL570 18 Samples,18,"GSE10961	ID: 200010961","GEO (CEL, CHP) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE10nnn/GSE10961/",,liver metastases from colorectal cancer
A Low-cost Multiplex Biomarker Assay Stratifies Colorectal Cancer Patient Samples into Clinically-relevant Subtypes: OriGene Cohort Microarray Data,Homo sapiens,Expression profiling by array,GPL17586 17 Samples,17,"GSE101472	ID: 200101472",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE101nnn/GSE101472/,,
Niche microenvironments are essential for maintaining the phenotypic heterogeneity of primary cancer,Homo sapiens,Expression profiling by array,GPL21185 17 Samples,17,"GSE99158	ID: 200099158",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE99nnn/GSE99158/,,
Mucosal biopsies from groups Normal (NOR) and patients who underwent curative large bowel resection for colorectal cancer  (M-CRC),Homo sapiens,Expression profiling by array,GPL570 17 Samples,17,"GSE23194	ID: 200023194",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE23nnn/GSE23194/,,
Argyrin A is a p27 stabilizing drug with potent antiproliferative activity in vivo,Homo sapiens,Expression profiling by array,GPL570 17 Samples,17,"GSE8565	ID: 200008565",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE8nnn/GSE8565/,,
"A feedforward loop between STAT1 and YAP1 stimulates lipid biosynthesis, accelerates tumor growth, and promotes chemotherapy resistance in mutant KRAS colorectal cancer.",Homo sapiens,Expression profiling by array,GPL24324 16 Samples,16,"GSE278710	ID: 200278710",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE278nnn/GSE278710/,,
Gene expression changes in gastric and colon cancer cell lines after RHOA knockdown.,Homo sapiens,Expression profiling by array,GPL21185 16 Samples,16,"GSE110237	ID: 200110237",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE110nnn/GSE110237/,,
Gene expression data of human normal colon organoids stimulated by IL-17A,Homo sapiens,Expression profiling by array,GPL15207 16 Samples,16,"GSE127757	ID: 200127757",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE127nnn/GSE127757/,,
Expression data from colon cancer cell HCT116 mouse xenograft - Control vs. traditional Chinese medicine Astragalus membranaceus-treated conditions,Homo sapiens,Expression profiling by array,GPL17586 16 Samples,16,"GSE70772	ID: 200070772",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE70nnn/GSE70772/,,
TGFβ signaling directs serrated adenomas to the mesenchymal colorectal cancer subtype [adenomas],Homo sapiens,Expression profiling by array,GPL13158 16 Samples,16,"GSE79460	ID: 200079460",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE79nnn/GSE79460/,,
CRC cells_Aspirin treatment_48 hours_Rep8,Homo sapiens,Expression profiling by array,GPL17077 16 Samples,16,"GSE76583	ID: 200076583",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE76nnn/GSE76583/,,
Epigenotyping by quantitative DNA methylation analysis revealed three epigenotypes in colorectal cancer,Homo sapiens,Methylation profiling by genome tiling array; Expression profiling by array,GPL5082 GPL570 16 Samples,16,"GSE14526	ID: 200014526",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE14nnn/GSE14526/,,
"Downregulation of three tumour suppressor genes SLC26A3, DCN and TPM1 in colorectal cancer",Homo sapiens,Expression profiling by array,GPL7502 16 Samples,16,"GSE14010	ID: 200014010",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE14nnn/GSE14010/,,
Profiling of CD8+T cells upon treatment with extracellular vesicles derived from colorectal cancer and normal patients with different body mass index,Homo sapiens,Expression profiling by array,GPL20844 15 Samples,15,"GSE152508	ID: 200152508",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE152nnn/GSE152508/,,
Chemotherapy recurrence colon cancer spheroid L145,Homo sapiens,Expression profiling by array,GPL570 15 Samples,15,"GSE97781	ID: 200097781",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE97nnn/GSE97781/,,
Differences in expression profiling and biomarkers between histological colorectal carcinomas subsets from the serrated pathway,Homo sapiens,Expression profiling by array,GPL4133 15 Samples,15,"GSE116305	ID: 200116305",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE116nnn/GSE116305/,,
Consensus Molecular Subtypes of colorectal cancer are recapitulated in in vitro and in vivo models [primary cell lines AMC/Palermo],Homo sapiens,Expression profiling by array,GPL13158 15 Samples,15,"GSE100549	ID: 200100549",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE100nnn/GSE100549/,,
Human Transcriptome Array 2.0 (HTA) in matched colorectal cancer and normal colonic mucosa.,Homo sapiens,Expression profiling by array,GPL17586 15 Samples,15,"GSE84984	ID: 200084984","GEO (CEL, CHP) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE84nnn/GSE84984/",,
The status of lymph node of resectable distant metastaticcolorectal cancer  (stage Ⅳ) as a prognostic predictor,Homo sapiens,Expression profiling by array,GPL17077 15 Samples,15,"GSE63596	ID: 200063596",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE63nnn/GSE63596/,,
Identification of miRNAs that regulate Colorectal Cancer Metastasis,Homo sapiens,Non-coding RNA profiling by array; Expression profiling by array,GPL18485 GPL6884 GPL18486 15 Samples,15,"GSE56320	ID: 200056320",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE56nnn/GSE56320/,,
LIN28B and colon cancer,Homo sapiens,Expression profiling by array,GPL6244 15 Samples,15,"GSE26336	ID: 200026336",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE26nnn/GSE26336/,,
Human colorectal cancer cell lines treated with several inhibitors of PI3Kinase – AKT signaling pathway,Homo sapiens,Expression profiling by array,GPL96 15 Samples,15,"GSE18005	ID: 200018005",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE18nnn/GSE18005/,,
Transcriptional profile of NOMO1 knockout cell lines [Affymetrix],Homo sapiens,Expression profiling by array,GPL32050 14 Samples,14,"GSE198324	ID: 200198324",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE198nnn/GSE198324/,,
The miRNA Profile and Bioinformatic Analysis for Diagnosis in Patients with Stage IIIA Colon Cancer,Homo sapiens; synthetic construct,Expression profiling by array,GPL14613 14 Samples,14,"GSE136020	ID: 200136020","GEO (CEL, CHP) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE136nnn/GSE136020/",,
Expression data of GFP-high or low cells of LGR5-GFP or KRT20-GFP knock-in human colorectal tumor organoids.,Homo sapiens,Expression profiling by array,GPL15207 14 Samples,14,"GSE83513	ID: 200083513",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE83nnn/GSE83513/,,
Alkylating pyrrole-imidazole polyamide KR12 binding in colorectal cancer genomes,Homo sapiens,Expression profiling by array,GPL16699 14 Samples,14,"GSE86599	ID: 200086599",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE86nnn/GSE86599/,,
Ascl2 acts as an R-spondin/Wnt responsive switch to control stemness in intestinal crypts,Homo sapiens; Mus musculus,Expression profiling by array; Genome binding/occupancy profiling by high throughput sequencing,GPL4134 GPL9442 GPL9318 14 Samples,14,"GSE84457	ID: 200084457","GEO (TXT, WIG) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE84nnn/GSE84457/",,
Prediction of response to bevacizumab,Homo sapiens,Expression profiling by array,GPL570 14 Samples,14,"GSE19862	ID: 200019862",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE19nnn/GSE19862/,,
All exon array expression data in normal colon and primary colon cancer lines [expression],Homo sapiens,Expression profiling by array,GPL5175 14 Samples,14,"GSE36400	ID: 200036400",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE36nnn/GSE36400/,,
AMC tubular and serrated adenomas,Homo sapiens,Expression profiling by array,GPL570 13 Samples,13,"GSE45270	ID: 200045270",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE45nnn/GSE45270/,,
Isolated and characterized colorectal cancer stem cells and normal stem cells isolated from colorectal cancer tissues and normal colon tissues by whole genome expression microarray,Homo sapiens,Expression profiling by array,GPL6480 12 Samples,12,"GSE160988	ID: 200160988",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE160nnn/GSE160988/,,
Gene expression from HCT116 cells after LS 1 2 treatment,Homo sapiens,Expression profiling by array,GPL17586 12 Samples,12,"GSE241744	ID: 200241744",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE241nnn/GSE241744/,,
Circular RNA hsa_circ_0064559 is identified to affect the progression of colorectal cancer,Homo sapiens,Expression profiling by array,GPL23126 12 Samples,12,"GSE209892	ID: 200209892",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE209nnn/GSE209892/,,
Genome-wide expression profiling of CRC cells (SW620) upon TIMELESS loss expression and/or ZEB1 down regulation,Homo sapiens,Expression profiling by array,GPL23159 12 Samples,12,"GSE169576	ID: 200169576",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE169nnn/GSE169576/,,
"miRNA, mRNA and lncRNA expression in colorectal cancer",Homo sapiens,Non-coding RNA profiling by array; Expression profiling by array,GPL20712 GPL26963 12 Samples,12,"GSE156732	ID: 200156732",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE156nnn/GSE156732/,,
RNA sequencing for cancer tissues and adjacent tissues of third-stage rectal cancer patients with and without blood vascular thrombus,Homo sapiens,Expression profiling by array,GPL17077 12 Samples,12,"GSE127069	ID: 200127069",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE127nnn/GSE127069/,,
Expression data of LncRNA from Human rectal cancer tissues and adjacent non-cancerous tissues,Homo sapiens,Expression profiling by array,GPL23126 12 Samples,12,"GSE139814	ID: 200139814",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE139nnn/GSE139814/,,
