Title,Organism,Type,Platform,Samples,Accession,FTP,Data Processing,Samples,
Transcriptome-analysis of patient-derived normal and ulcerative colitis intestinal epithelial organoids,Homo sapiens,Expression profiling by high throughput sequencing,GPL16791 20 Samples,20,"GSE102746	ID: 200102746",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE102nnn/GSE102746/,,,
Gene Expression Changes in Non-Dysplastic Mucosa from Patients with Ulcerative Colitis Harboring Remote Neoplastic Lesions,Homo sapiens,Expression profiling by array,GPL13158 20 Samples,20,"GSE37283	ID: 200037283",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE37nnn/GSE37283/,,,
"Genome wide expression data from discordant twins (ulcerative colitis, primary mucosal tissue)",Homo sapiens,Expression profiling by array,GPL570 20 Samples,20,"GSE22619	ID: 200022619",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE22nnn/GSE22619/,, discordant twins,
Gene expression profiling of mucosal biopsies from pediatric patients with moderately to severely active ulcerative colitis,Homo sapiens,Expression profiling by array,GPL13158 19 Samples,19,"GSE87465	ID: 200087465",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE87nnn/GSE87465/,,,
A long noncoding RNA signature in Ulcerative Colitis,Homo sapiens,Non-coding RNA profiling by array,GPL16956 19 Samples,19,"GSE77013	ID: 200077013",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE77nnn/GSE77013/,,,
Stem-like T cells are associated with the pathogenesis of ulcerative colitis in humans [scRNAseq_Human],Homo sapiens,Expression profiling by high throughput sequencing,GPL24676 18 Samples,18,"GSE235663	ID: 200235663","GEO (CSV, TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE235nnn/GSE235663/",,,
IBD single cell data from colonic mucosa,Homo sapiens,Expression profiling by high throughput sequencing,GPL18573 18 Samples,18,"GSE214695	ID: 200214695","GEO (CSV, MTX, TSV) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE214nnn/GSE214695/",,,
Human macrophage responses to viral-like particles from non-IBD or IBD colonic resections,Homo sapiens,Expression profiling by high throughput sequencing,GPL24676 18 Samples,18,"GSE135223	ID: 200135223",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE135nnn/GSE135223/,,,
Cyclin-dependent kinase 9 is a therapeutic target for anti-TNF resistant inflammatory bowel disease,Homo sapiens,Expression profiling by high throughput sequencing,GPL21290 17 Samples,17,"GSE172372	ID: 200172372",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE172nnn/GSE172372/,,,
Divergent spatial microdomains drive inflammation and repair in Ulcerative and Immune Checkpoint Therapy Colitis - Spatial Transcriptomics,Homo sapiens,Expression profiling by high throughput sequencing; Other,GPL18573 16 Samples,16,"GSE189184	ID: 200189184",GEO (ZIP) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE189nnn/GSE189184/,,,
"Genome-wide analysis of colorectal cancer gene expression by using primary tumors, normal colon and lymph nodes",Homo sapiens,Expression profiling by array,GPL6104 16 Samples,16,"GSE141174	ID: 200141174",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE141nnn/GSE141174/,,,
Gene expression data of human normal colon organoids stimulated by IL-17A,Homo sapiens,Expression profiling by array,GPL15207 16 Samples,16,"GSE127757	ID: 200127757",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE127nnn/GSE127757/,,,
Gene expression data from a cohort of Chilean Ulcerative Colitis human intestinal samples,Homo sapiens,Expression profiling by array,GPL4133 16 Samples,16,"GSE133060	ID: 200133060",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE133nnn/GSE133060/,,,
miRNA expression data from a cohort of Chilean Ulcerative Colitis human intestinal samples,synthetic construct; Homo sapiens,Non-coding RNA profiling by array,GPL19117 16 Samples,16,"GSE133059	ID: 200133059","GEO (CEL, CHP) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE133nnn/GSE133059/",,,
RNA-sequencing of mRNAs from control and CAP-D3 deficient Salmonella infected HT-29 cells,Homo sapiens,Expression profiling by high throughput sequencing,GPL16791 16 Samples,16,"GSE62520	ID: 200062520",GEO (XLS) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE62nnn/GSE62520/,,,
Divergent spatial microdomains drive inflammation and repair in Ulcerative and Immune Checkpoint Therapy Colitis - CD45 scRNA-Seq,Homo sapiens,Expression profiling by high throughput sequencing,GPL24676 GPL18573 15 Samples,15,"GSE189754	ID: 200189754",GEO ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE189nnn/GSE189754/,,,
"Transcriptome Profiling of Intact Bowel Wall Reveals that PDE1A and SEMA3D are Possible Markers with Roles in Enteric Smooth Muscle Apoptosis, Proliferative Disorders, and Autonomic Nervous Abnormality in Crohn's Disease.",Homo sapiens,Expression profiling by high throughput sequencing,GPL20795 15 Samples,15,"GSE227747	ID: 200227747",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE227nnn/GSE227747/,,,
Hsa_circ_0001021 regulates intestinal epithelial barrier function via sponging miR-224-5p in ulcerative colitis,Homo sapiens,Expression profiling by array; Non-coding RNA profiling by array,GPL30304 15 Samples,15,"GSE178753	ID: 200178753",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE178nnn/GSE178753/,,,
Allele-specific DNA methylation of disease susceptibility genes in Japanese patients with inflammatory bowel disease,Homo sapiens,Methylation profiling by SNP array,GPL22697 15 Samples,15,"GSE110534	ID: 200110534",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE110nnn/GSE110534/,,,
Expression of long non-coding RNAs in autoimmunity and linkage to enhancer function and autoimmune disease risk genetic variants,Homo sapiens,Expression profiling by high throughput sequencing,GPL21290 15 Samples,15,"GSE92472	ID: 200092472",GEO ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE92nnn/GSE92472/,,,
Effect of ferrostatin-1 and liproxstatin-1 during TNF-induced HT-29 cells apoptosis,Homo sapiens,Expression profiling by high throughput sequencing,GPL24676 14 Samples,14,"GSE248867	ID: 200248867",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE248nnn/GSE248867/,,,
RNA sequencing of sort-purified ILC3s from IBD patients,Homo sapiens,Expression profiling by high throughput sequencing,GPL20301 14 Samples,14,"GSE247742	ID: 200247742",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE247nnn/GSE247742/,,,
Single-cell and spatial multi-omics highlight effects of anti-integrin therapy across cellular compartments in ulcerative colitis,Homo sapiens,Expression profiling by high throughput sequencing; Other,GPL24676 14 Samples,14,"GSE250498	ID: 200250498","GEO (MTX, TSV, TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE250nnn/GSE250498/",,,
Evaluation of Integrin aE-positive and negative cells,Homo sapiens,Expression profiling by high throughput sequencing,GPL20301 14 Samples,14,"GSE152320	ID: 200152320",GEO (TSV) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE152nnn/GSE152320/,,,
Translocation of Viable Gut Microbiota to Mesenteric Adipose Drives Formation of Creeping Fat in Humans,Homo sapiens,Expression profiling by high throughput sequencing,GPL18573 14 Samples,14,"GSE156776	ID: 200156776","GEO (MTX, TSV, TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE156nnn/GSE156776/",,,
Genome-wide transcriptional profiles of biopsies from the MUCUS trial,Homo sapiens,Expression profiling by array,GPL16699 14 Samples,14,"GSE96698	ID: 200096698",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE96nnn/GSE96698/,,,
Gene expression patterns of biopsies from a colonoscopy taken in 2007 of an ulcerative colitis patient infected with Trichuris trichiura,Homo sapiens,Expression profiling by array,GPL5621 14 Samples,14,"GSE25275	ID: 200025275",GEO (GPR) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE25nnn/GSE25275/,,,
Gene expression at single cell level of stromal cells from the distal colon of normal sites of colorectal cancer and inflamed sites of ulcerative colitis.,Homo sapiens,Expression profiling by high throughput sequencing,GPL28038 13 Samples,13,"GSE296969	ID: 200296969",GEO (TAR) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE296nnn/GSE296969/,,,
Host-microbiome response to hyperbaric oxygen treatment in ulcerative colitis,Homo sapiens,Expression profiling by high throughput sequencing,GPL16791 13 Samples,13,"GSE152229	ID: 200152229",GEO (BW) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE152nnn/GSE152229/,,,
Mucosal Profiling of Pediatric-Onset Colitis and IBD Reveals Common Pathogenics and Therapeutic Pathways,Homo sapiens,Expression profiling by high throughput sequencing,GPL20795 13 Samples,13,"GSE121380	ID: 200121380",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE121nnn/GSE121380/,,,
"RNA-Seq: The transcriptional response to 1,25(OH)2D3 in human colonic organoids",Homo sapiens,Expression profiling by high throughput sequencing,GPL18573 12 Samples,12,"GSE206177	ID: 200206177",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE206nnn/GSE206177/,,,
Effect of 4-HDHA during TNF-induced HT-29 cells apoptosis,Homo sapiens,Expression profiling by high throughput sequencing,GPL24676 12 Samples,12,"GSE249870	ID: 200249870",GEO (XLSX) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE249nnn/GSE249870/,,,
A network-based framework to discover treatment-response-predicting biomarkers for complex diseases,Homo sapiens,Expression profiling by high throughput sequencing,GPL24676 12 Samples,12,"GSE261205	ID: 200261205",GEO (CSV) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE261nnn/GSE261205/,,,
Multiomic analysis reveals cellular and epigenetic plasticity in intestinal pouches of ulcerative colitis patients [scRNA-seq],Homo sapiens,Expression profiling by high throughput sequencing,GPL24676 12 Samples,12,"GSE242086	ID: 200242086","GEO (MTX, TSV) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE242nnn/GSE242086/",,,
Multiomic analysis reveals cellular and epigenetic plasticity in intestinal pouches of ulcerative colitis patients [scATAC-seq],Homo sapiens,Genome binding/occupancy profiling by high throughput sequencing,GPL24676 12 Samples,12,"GSE242085	ID: 200242085","GEO (TBI, TSV) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE242nnn/GSE242085/",,,
Selective oxidative protection leads to tissue topological changes orchestrated by macrophage during ulcerative colitis,Homo sapiens,Expression profiling by high throughput sequencing,GPL18573 12 Samples,12,"GSE231993	ID: 200231993","GEO (MTX, TSV) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE231nnn/GSE231993/",,,
Gene expression profile at single cell level of the intestinal T cells from patients with inflammatory bowel disease,Homo sapiens,Expression profiling by high throughput sequencing,GPL21290 GPL24676 12 Samples,12,"GSE218000	ID: 200218000","GEO (CSV, FASTA) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE218nnn/GSE218000/",,,
Colonic mucosa of ulcerative colitis patients treated with biological agents,Homo sapiens,Expression profiling by high throughput sequencing,GPL21290 12 Samples,12,"GSE220815	ID: 200220815",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE220nnn/GSE220815/,,,
Colonic CD8 T Cell Topography in IBD revealed by Single-Cell Profiling,Homo sapiens,Expression profiling by high throughput sequencing; Other,GPL20301 12 Samples,12,"GSE134649	ID: 200134649","GEO (MTX, TSV, TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE134nnn/GSE134649/",,,
Expression Profiles of Circular RNAs in colon biopsies from Crohn’s Disease Patients by Microarray Analysis,Homo sapiens,Non-coding RNA profiling by array,GPL21825 12 Samples,12,"GSE131911	ID: 200131911",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE131nnn/GSE131911/,,,
Differential pathogenic Th17 profile in mesenteric lymph nodes of Crohn's disease and ulcerative colitis patients,Homo sapiens,Expression profiling by array,GPL21847 12 Samples,12,"GSE131359	ID: 200131359",GEO (RCC) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE131nnn/GSE131359/,,,
Genome-wide methylation approach identifies a novel hypermethylated gene panel in ulcerative colitis,Homo sapiens,Methylation profiling by genome tiling array,GPL13534 12 Samples,12,"GSE81211	ID: 200081211","GEO (IDAT, TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE81nnn/GSE81211/",,,
Effects of Inflammation and 5-ASA on ex vivo cultured ulcerative colitis biopsies,Homo sapiens,Expression profiling by array,GPL10558 12 Samples,12,"GSE46451	ID: 200046451",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE46nnn/GSE46451/,,,
Transcriptional imprinting of transmigrating neutrophils on T84 intestinal epithelial cells,Homo sapiens,Expression profiling by array,GPL6480 12 Samples,12,"GSE39681	ID: 200039681",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE39nnn/GSE39681/,,,
Gene expression patterns of biopsies from a colonoscopy taken in 2009 of an ulcerative colitis patient infected with Trichuris trichiura,Homo sapiens,Expression profiling by array,GPL5621 12 Samples,12,"GSE25277	ID: 200025277",GEO (GPR) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE25nnn/GSE25277/,,,
Gene expression patterns of biopsies from a colonoscopy taken in 2008 of an ulcerative colitis patient infected with Trichuris trichiura,Homo sapiens,Expression profiling by array,GPL5621 12 Samples,12,"GSE25276	ID: 200025276",GEO (GPR) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE25nnn/GSE25276/,,,
Signaling pathways after 30 minutes and 4 hours treatment with 500 μM Na2S in intestinal epithelial cells,Homo sapiens,Expression profiling by RT-PCR,GPL6933 12 Samples,12,"GSE11688	ID: 200011688",GEO ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE11nnn/GSE11688/,,,
DNA damage response pathways after 30 minutes and 4 hours treatment with 500 μM Na2S in intestinal epithelial cells,Homo sapiens,Expression profiling by RT-PCR,GPL6926 12 Samples,12,"GSE11678	ID: 200011678",GEO ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE11nnn/GSE11678/,,,
Inflammatory bowel disease,Homo sapiens,Expression profiling by array,GPL96 GPL97 12 Samples,12,"GSE1152	ID: 200001152",GEO ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE1nnn/GSE1152/,,,
Induced organoids derived from patients with ulcerative colitis recapitulate the colitic reactivity,Homo sapiens,Expression profiling by high throughput sequencing,GPL24676 11 Samples,11,"GSE152999	ID: 200152999","GEO (MTX, TSV) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE152nnn/GSE152999/",,,
Expression data from Crohn's disease (CD) and Ulcerative colitis (UC) human peripheral blood samples,Homo sapiens,Expression profiling by array,GPL570 11 Samples,11,"GSE11499	ID: 200011499",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE11nnn/GSE11499/,,peripheral blood signatures,"UC,CD"
Composition of the Colonic Mesenchyme and the Nature of its Plasticity in Inflammatory Bowel Disease,Homo sapiens; Mus musculus,Expression profiling by high throughput sequencing,GPL20301 GPL21103 10 Samples,10,"GSE114374	ID: 200114374",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE114nnn/GSE114374/,,,
miRNA data in colon mucosa samples from individuals with ulcerative colitis and normal controls,synthetic construct; Homo sapiens,Non-coding RNA profiling by array,GPL16384 10 Samples,10,"GSE43009	ID: 200043009",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE43nnn/GSE43009/,,,
Expression data in colon mucosa samples from individuals with ulcerative colitis and normal controls,Homo sapiens,Expression profiling by array,GPL15207 10 Samples,10,"GSE42911	ID: 200042911",GEO (CEL) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE42nnn/GSE42911/,,,
Bias in Gene-Set Analysis Applied to High-throughput Methylation Data,Homo sapiens,Methylation profiling by genome tiling array; Genome binding/occupancy profiling by genome tiling array,GPL8544 10 Samples,10,"GSE39188	ID: 200039188",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE39nnn/GSE39188/,,,
The mechanism of gluconeogenic enzyme Pck1 in ulcerative colitis through regulation of Pla2g6-mediated lipid metabolism II,Homo sapiens,Expression profiling by high throughput sequencing,GPL34284 9 Samples,9,"GSE296485	ID: 200296485",GEO (XLS) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE296nnn/GSE296485/,,,
IBD CosMx NanoString data from colonic mucosa,Mus musculus; Homo sapiens,Other,GPL33484 9 Samples,9,"GSE234713	ID: 200234713","GEO (CSV, HTML, TAR, TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE234nnn/GSE234713/",,,
HIF-dependent NFATC1 Activation Upregulates ITGA5 and PLAUR in Intestinal Epithelium in Inflammatory Bowel Disease,Homo sapiens,Expression profiling by high throughput sequencing,GPL21697 9 Samples,9,"GSE186295	ID: 200186295",GEO (TSV) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE186nnn/GSE186295/,,,
Ulcerative Colitis is characterized by an intense and plasmablast skewed humoral response that associates with treatment resistance and disease complications,Homo sapiens,Expression profiling by high throughput sequencing,GPL11154 9 Samples,9,"GSE182270	ID: 200182270",GEO (TAR) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE182nnn/GSE182270/,,,
Colonic single epithelial cell census reveals goblet cell drivers of barrier breakdown in inflammatory bowel disease,Homo sapiens,Expression profiling by high throughput sequencing,GPL24676 9 Samples,9,"GSE116222	ID: 200116222",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE116nnn/GSE116222/,,,
Regulation of PRDM1 (PRDBF-1/BLIMP1) isoform expression in T cells by an Inflammatory Bowel Disease -associated polymorphism,Homo sapiens,Expression profiling by high throughput sequencing,GPL18573 8 Samples,8,"GSE83925	ID: 200083925",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE83nnn/GSE83925/,,,
Single-cell single-molecule spatial transcriptomics using CosMx on colectomy specimens collected during Pouch surgery in IBD patients.,Mus musculus; Homo sapiens,Other,GPL33484 8 Samples,8,"GSE283625	ID: 200283625","GEO (CSV, TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE283nnn/GSE283625/",,,
M2-exo transfers funcional microRNA to IEC,Homo sapiens,Expression profiling by high throughput sequencing; Non-coding RNA profiling by high throughput sequencing,GPL24676 8 Samples,8,"GSE223481	ID: 200223481",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE223nnn/GSE223481/,,,
"Vitamin D receptor (VDR) ChIP-Seq on human colonic organoids stimulated with 1,25(OH)2D3",Homo sapiens,Genome binding/occupancy profiling by high throughput sequencing,GPL18573 8 Samples,8,"GSE206176	ID: 200206176","GEO (BED, BW) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE206nnn/GSE206176/",,,
Single-cell and spatial multi-omics highlight effects of anti-integrin therapy across cellular compartments in ulcerative colitis [biopsy scRNA-seq],Homo sapiens,Expression profiling by high throughput sequencing,GPL24676 8 Samples,8,"GSE250487	ID: 200250487","GEO (H5AD, MTX, RDS, TSV, TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE250nnn/GSE250487/",,,
Initiation of an inflammatory response in resident intestinal lamina propria cells -use of a human organ culture model,Homo sapiens,Expression profiling by array,GPL10558 8 Samples,8,"GSE56448	ID: 200056448",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE56nnn/GSE56448/,,,
Gene expression analysis of omental and mesenteric adipose tissue in Crohn's disease and ulcerative colitis,Homo sapiens,Expression profiling by array,GPL6947 8 Samples,8,"GSE46754	ID: 200046754",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE46nnn/GSE46754/,,,
Analysis of Gene Expression changes in human intestinal endothelial-to-mesenchymal transition,Homo sapiens,Expression profiling by array,GPL6104 8 Samples,8,"GSE15975	ID: 200015975",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE15nnn/GSE15975/,,,
Control (IBS) & Ulcerative colitis (UC) subjects,Homo sapiens,Expression profiling by array,GPL96 8 Samples,8,"GSE2461	ID: 200002461","GEO (CEL, EXP) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE2nnn/GSE2461/",,,
"CCD18co colonic fibroblast cell line treated with various pro-inflammatory stimuli, and analized by single cell RNA sequencing (scRNA-seq) to analyze pro-fibrotic signatures",Homo sapiens,Expression profiling by high throughput sequencing,GPL24676 7 Samples,7,"GSE233063	ID: 200233063","GEO (MTX, TSV) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE233nnn/GSE233063/",,,
PIWIL2 downregulation in colon cancer promotes transposon activity and pro-tumorigenic phenotypes,Homo sapiens,Non-coding RNA profiling by high throughput sequencing,GPL24676 6 Samples,6,"GSE303118	ID: 200303118",GEO (CSV) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE303nnn/GSE303118/,,,
Gene expression profile characteristics of patients with ulcerative colitis,Homo sapiens,Expression profiling by high throughput sequencing,GPL24676 6 Samples,6,"GSE294501	ID: 200294501",GEO (XLSX) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE294nnn/GSE294501/,,,
Dietary 3-Aminobenzoic Acid Enhances Intestinal Barrier Integrity and Attenuates Experimental Colitis,Homo sapiens,Expression profiling by high throughput sequencing,GPL34281 6 Samples,6,"GSE270624	ID: 200270624",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE270nnn/GSE270624/,,,
Hydrogen sulfide preserves intestinal barrier repair function through sulfhydration of RPS20 in experimental colitis,Homo sapiens,Expression profiling by high throughput sequencing,GPL24676 6 Samples,6,"GSE276745	ID: 200276745",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE276nnn/GSE276745/,,,
RNA sequencing analysis in Caco2 cells infected with vector or PIM1,Homo sapiens,Expression profiling by high throughput sequencing,GPL24676 6 Samples,6,"GSE234122	ID: 200234122",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE234nnn/GSE234122/,,,
The TNFSF12/TWEAK modulates colonic inflammatory fibroblast differentiation and promotes fibroblast-monocyte interactions,Homo sapiens,Expression profiling by high throughput sequencing,GPL23227 6 Samples,6,"GSE237845	ID: 200237845",GEO (TSV) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE237nnn/GSE237845/,,,
"Reverse translational discovery reveals dysregulation of CD4+ and CD8+ resident memory T, myeloid, and stromal cells in steroid-refractory, checkpoint inhibitor colitis [biopsy scRNA_TCR-seq]",Homo sapiens,Expression profiling by high throughput sequencing,GPL24676 6 Samples,6,"GSE253720	ID: 200253720","GEO (CSV, H5AD, MTX, TSV, TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE253nnn/GSE253720/",,,
Increased motility and suppression of ex vivo-expanded regulatory T cells designed for adoptive transfer therapy in ulcerative colitis,Homo sapiens,Expression profiling by high throughput sequencing,GPL24676 6 Samples,6,"GSE229607	ID: 200229607",GEO (CSV) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE229nnn/GSE229607/,,,
Integrated analysis of DNA methylation and gene expression profiles identified S100A9 as a potential biomarker in ulcerative colitis,Homo sapiens,Expression profiling by array; Non-coding RNA profiling by array,GPL20115 6 Samples,6,"GSE160804	ID: 200160804",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE160nnn/GSE160804/,,,
Human interleukin-4 treated regulatory macrophages promote epithelial wound healing and reduce colitis in an mouse model,Homo sapiens,Expression profiling by high throughput sequencing,GPL18573 6 Samples,6,"GSE132732	ID: 200132732",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE132nnn/GSE132732/,,,
Ulcerative colitis gene expressions file,Homo sapiens,Expression profiling by array,GPL20115 6 Samples,6,"GSE134025	ID: 200134025",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE134nnn/GSE134025/,,,
Microarray analysis of CD14+ CD163high CD160high cells in human intestinal lamina propria,Homo sapiens,Expression profiling by array,GPL4133 6 Samples,6,"GSE79627	ID: 200079627",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE79nnn/GSE79627/,,,
Role of miRNA in inflammatory bowel disease,Rhadinovirus; Merkel cell polyomavirus; Human alphaherpesvirus 2; Lymphocryptovirus; Betapolyomavirus hominis; JC polyomavirus; Human immunodeficiency virus 1; Homo sapiens; Human alphaherpesvirus 1; Cytomegalovirus; Betapolyomavirus macacae,Non-coding RNA profiling by array,GPL19128 6 Samples,6,"GSE66932	ID: 200066932","GEO (CSV, TXT, XLSX) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE66nnn/GSE66932/",,,
Inflammatory bowel disease (HG-U133B),Homo sapiens,Expression profiling by array,GPL97 6 Samples,6,"GSE1142	ID: 200001142",GEO ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE1nnn/GSE1142/,,,
Inflammatory bowel disease (HG-U133A),Homo sapiens,Expression profiling by array,GPL96 6 Samples,6,"GSE1141	ID: 200001141",GEO ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE1nnn/GSE1141/,,,
Inhibition of histone deacetylation by MS-275 alleviates colitis by activating the vitamin D receptor,Homo sapiens,Genome binding/occupancy profiling by high throughput sequencing,GPL20795 5 Samples,5,"GSE138495	ID: 200138495",GEO (BIGWIG) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE138nnn/GSE138495/,,,
Single-Cell Analyses of Colon and Blood Reveal Distinct Immune Cell Signatures of Ulcerative Colitis and Crohn’s Disease,Homo sapiens,Expression profiling by high throughput sequencing,GPL18573 5 Samples,5,"GSE150115	ID: 200150115","GEO (CSV, TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE150nnn/GSE150115/",,,
MicroRNA expression in human colon: Crohn's disease versus ulcerative colitis,Homo sapiens; Human alphaherpesvirus 1; Human betaherpesvirus 5; Murid betaherpesvirus 1; Human immunodeficiency virus 1; human gammaherpesvirus 4; JC polyomavirus; Human gammaherpesvirus 8; Betapolyomavirus macacae; Murid gammaherpesvirus 4; Betapolyomavirus hominis,Non-coding RNA profiling by array,GPL14149 5 Samples,5,"GSE53867	ID: 200053867",GEO (TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE53nnn/GSE53867/,,,
Human UniGene Set RZPD 1 - Zipf's Normalization,Homo sapiens,Expression profiling by array,GPL284 5 Samples,5,"GSE1510	ID: 200001510",GEO ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE1nnn/GSE1510/,,,
ChIP-seq analysis for HDAC2 in Caco2 cells infected with vector or PIM1,Homo sapiens,Genome binding/occupancy profiling by high throughput sequencing,GPL24676 4 Samples,4,"GSE234117	ID: 200234117",GEO (NARROWPEAK) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE234nnn/GSE234117/,,,
"Reverse translational discovery reveals dysregulation of CD4+ and CD8+ resident memory T, myeloid, and stromal cells in steroid-refractory, checkpoint inhibitor colitis [blood CITE_TCR-seq]",Homo sapiens,Other,GPL24676 4 Samples,4,"GSE253721	ID: 200253721","GEO (CSV, H5AD, MTX, TSV, TXT) ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE253nnn/GSE253721/",,,
